DQO_mg/L,TOX_V_15_UT,E_COLI_NMP_100mL,TOX_D_48_UT
26.04,1.0,2247.0,1.0
23.52,1.0,8164.0,1.0
10.0,1.0,295.0,1.0
10.0,1.0,288.0,1.0
10.0,1.0,24196.0,1.0
16.88,1.0,24196.0,1.0
10.0,1.0,41.0,1.0
25.2,1.0,20.0,1.0
10.92,1.0,122.0,1.0
12.6,1.0,2909.0,1.0
22.68,1.0,2143.0,1.0
71.77,1.0,9330.0,1.0
25.08,1.0,7230.0,1.0
10.0,1.0,359.0,1.0
10.0,1.0,1124.0,1.0
10.0,1.0,3076.0,1.0
16.88,1.0,61310.0,1.0
10.0,1.0,1680.0,1.0
